model_filename,place_name,min_x,min_y,min_z,max_x,max_y,max_z,cen_x,cen_y,cen_z,origin_x,origin_y,origin_z
unnamed_2_23516_2.vmdl,TSpawn,-1160.000122,-311.999969,-168.000015,1160.000122,319.999969,134.400009,0,4,-16.800003,-624.000000,-936.000000,120.000000
unnamed_2_23516_7.vmdl,TSpawn,-448.000092,-256,-84,448.000092,256,84,0,0,0,-1328.000000,-392.000000,200.000000
unnamed_2_23516_9.vmdl,TRamp,-228,-488.000061,-160,260,488.000061,160,16,0,0,-2036.000000,-583.999939,136.000000
unnamed_2_23516_11.vmdl,OutsideTunnel,-424,-416,-140,424,416,140,0,0,0,-1632.000000,288.000000,156.000000
unnamed_2_23516_13.vmdl,UpperTunnel,-60,-128,-108,60,128,108,0,0,0,-1660.000000,832.000000,140.000000
unnamed_2_23516_15.vmdl,UpperTunnel,-455.999969,-184.000031,-192,455.999969,184.000031,192,0,0,0,-1744.000000,1224.000000,216.000000
unnamed_2_23516_17.vmdl,UpperTunnel,-64.000015,-52,-172,72.000015,52,172,4,0,0,-1232.000000,1220.000000,220.000000
unnamed_2_23516_19.vmdl,UpperTunnel,-12,-68.000122,-188,12,43.999878,188,0,-12.000122,0,-1164.000000,1236.000000,220.000000
unnamed_2_23516_21.vmdl,UpperTunnel,-60.000015,-12,-176,84.000015,4,176,12,-4,0,-1236.000000,1164.000000,216.000000
unnamed_2_23516_23.vmdl,TunnelStairs,-60,-56,-204,68,64,204,4,4,0,-1220.000000,1088.000000,204.000000
unnamed_2_23516_25.vmdl,TunnelStairs,-52,-56,-224.000031,52,64,224.000031,0,4,0,-1124.000000,1104.000000,208.000031
unnamed_2_23516_27.vmdl,TunnelStairs,-64,-112,-332,64,112,332,0,0,0,-1088.000000,1160.000000,212.000000
unnamed_2_23516_29.vmdl,LowerTunnel,-360,-136,-112,360,136,112,0,0,0,-872.000000,1408.000000,0.000000
unnamed_2_23516_31.vmdl,Middle,-124,-368.000061,-188.000031,124,368.000061,188.000031,0,0,0,-384.000000,1136.000000,60.000031
unnamed_2_23516_33.vmdl,TopofMid,-412,-692,-272,412,692,272,0,0,0,-348.000000,76.000000,272.000000
unnamed_2_23516_35.vmdl,OutsideLong,-352,-436,-124,352,436,124,0,0,0,416.000000,-188.000000,124.000000
unnamed_2_23516_37.vmdl,OutsideLong,-208,-116,-124,208,116,124,0,0,0,272.000000,364.000000,124.000000
unnamed_2_23516_39.vmdl,LongDoors,-372,-484.000031,-128,396,484.000031,128,12,0,0,876.000000,732.000000,128.000000
unnamed_2_23516_41.vmdl,LongDoors,-152,-28,-124,152,28,124,0,0,0,1096.000000,220.000000,132.000000
unnamed_2_23516_43.vmdl,LongA,-180,-760.000122,-132,180,760.000122,196,0,0,32,1428.000000,1544.000000,124.000000
unnamed_2_23516_45.vmdl,LongA,-92,-576.000061,-128,92,312.000061,128,0,-132,0,1700.000000,1976.000000,128.000000
unnamed_2_23516_47.vmdl,ARamp,-180.000031,-392,-132,180.000031,392,204,0,0,36,1460.000000,2696.000000,124.000000
unnamed_2_23516_49.vmdl,BombsiteA,-239.999985,-352,-80,239.999985,344,152,0,-4,36,1040.000000,2752.000000,176.000000
unnamed_2_23516_51.vmdl,BombsiteA,-132,-52,-80,132,52,80,0,0,0,1156.000000,2356.000000,176.000000
unnamed_2_23516_53.vmdl,UnderA,-356,-148,-232,356,148,232,0,0,0,892.000000,2156.000000,88.000000
unnamed_2_23516_55.vmdl,UnderA,-247.999969,-48,-304.000031,239.999969,48,152,-4,0,-76.000015,784.000000,2352.000000,168.000000
unnamed_2_23516_57.vmdl,ExtendedA,-272,-192,-116,272,192,116,0,0,0,528.000000,2592.000000,212.000000
unnamed_2_23516_59.vmdl,ExtendedA,-140,-220,-116,140,220,116,0,0,0,396.000000,2180.000000,212.000000
unnamed_2_23516_61.vmdl,ShortStairs,-127.999992,-316.000061,-168,127.999992,316.000061,168,0,0,0,384.000000,1644.000000,160.000000
unnamed_2_23516_63.vmdl,Catwalk,-256,-140.000031,-164,256,140.000031,164,0,0,0,0.000000,1460.000000,164.000000
unnamed_2_23516_65.vmdl,Catwalk,-92,-275.999969,-164,92,275.999969,164,0,0,0,-164.000000,1044.000000,164.000000
unnamed_2_23516_67.vmdl,MidDoors,-128,-531.999939,-224,128,531.999939,224,0,0,0,-384.000000,2036.000122,96.000000
unnamed_2_23516_69.vmdl,MidDoors,-115.999992,-479.999969,-220,115.999992,479.999969,220,0,0,0,-628.000000,2128.000000,99.999992
unnamed_2_23516_71.vmdl,BDoors,-304,-276,-156,296,276,156,-4,0,0,-1040.000000,2316.000000,156.000000
unnamed_2_23516_73.vmdl,CTSpawn,-395.999969,-292.000061,-104,395.999969,292.000061,104,0,0,0,139.999969,2276.000000,-24.000000
unnamed_2_23516_75.vmdl,BDoors,-92.000023,-64,-152,92.000023,64,152,0,0,0,-1139.999878,2656.000000,160.000000
unnamed_2_23516_77.vmdl,Hole,-84,-60,-256,84,60,256,0,0,0,-1316.000000,2660.000000,216.000000
unnamed_2_23516_79.vmdl,BombsiteB,-440.000153,-392,-4,419.999908,408,452,-12.000012,8,224,-1764.000000,2192.000000,-4.000000
unnamed_2_23516_81.vmdl,BombsiteB,-371.999817,-208.000031,-4,420.000061,208.000031,412,24.000122,0,204,-1748.000000,2928.000000,36.000000
unnamed_2_23516_83.vmdl,BombsiteB,-367.999969,-59.999996,-4,359.999969,59.999996,412,-4,0,204,-1760.000000,2660.000000,36.000000
unnamed_2_23516_85.vmdl,UpperTunnel,-64,-196,-128,64,196,128,0,0,0,-1984.000000,1604.000000,160.000000
