place_name,world_min_x,world_min_y,world_min_z,world_max_x,world_max_y,world_max_z
TSpawn,-1784.000122,-1243.999969,-64.800018,536.0001219999999,-612.000031,237.600006
TSpawn,-1776.000092,-648.0,116.0,-879.999908,-136.0,284.0
TRamp,-2248.0,-1072.0,-24.0,-1760.0,-95.99987800000002,296.0
OutsideTunnel,-2056.0,-128.0,16.0,-1208.0,704.0,296.0
UpperTunnel,-1720.0,704.0,32.0,-1600.0,960.0,248.0
UpperTunnel,-2199.999969,1039.999969,24.0,-1288.000031,1408.000031,408.0
UpperTunnel,-1292.000015,1168.0,48.0,-1155.999985,1272.0,392.0
UpperTunnel,-1176.0,1155.9997560000002,32.0,-1152.0,1267.9997560000002,408.0
UpperTunnel,-1284.000015,1148.0,40.0,-1139.999985,1164.0,392.0
TunnelStairs,-1276.0,1036.0,0.0,-1148.0,1156.0,408.0
TunnelStairs,-1176.0,1052.0,-16.0,-1072.0,1172.0,432.000062
TunnelStairs,-1152.0,1048.0,-120.0,-1024.0,1272.0,544.0
LowerTunnel,-1232.0,1272.0,-112.0,-512.0,1544.0,112.0
Middle,-508.0,767.999939,-128.0,-260.0,1504.000061,248.000062
TopofMid,-760.0,-616.0,0.0,64.0,768.0,544.0
OutsideLong,64.0,-624.0,0.0,768.0,248.0,248.0
OutsideLong,64.0,248.0,0.0,480.0,480.0,248.0
LongDoors,516.0,247.99996900000002,0.0,1284.0,1216.000031,256.0
LongDoors,944.0,192.0,8.0,1248.0,248.0,256.0
LongA,1248.0,783.999878,24.0,1608.0,2304.000122,352.0
LongA,1608.0,1267.999939,0.0,1792.0,2156.000061,256.0
ARamp,1279.999969,2304.0,28.0,1640.000031,3088.0,364.0
BombsiteA,800.000015,2396.0,132.0,1279.999985,3092.0,364.0
BombsiteA,1024.0,2304.0,96.0,1288.0,2408.0,256.0
UnderA,536.0,2008.0,-144.0,1248.0,2304.0,320.0
UnderA,532.000031,2304.0,-212.000046,1019.999969,2400.0,243.99998499999998
ExtendedA,256.0,2400.0,96.0,800.0,2784.0,328.0
ExtendedA,256.0,1960.0,96.0,536.0,2400.0,328.0
ShortStairs,256.000008,1327.999939,-8.0,511.999992,1960.000061,328.0
Catwalk,-256.0,1319.999969,0.0,256.0,1600.000031,328.0
Catwalk,-256.0,768.000031,0.0,-72.0,1319.999969,328.0
MidDoors,-512.0,1504.0001829999999,-128.0,-256.0,2568.0000609999997,320.0
MidDoors,-743.999992,1648.000031,-120.000008,-512.000008,2607.999969,319.999992
BDoors,-1348.0,2040.0,0.0,-748.0,2592.0,312.0
CTSpawn,-256.0,1983.999939,-128.0,535.999938,2568.000061,80.0
BDoors,-1231.9999010000001,2592.0,8.0,-1047.999855,2720.0,312.0
Hole,-1400.0,2600.0,-40.0,-1232.0,2720.0,472.0
BombsiteB,-2216.000165,1808.0,216.0,-1356.000104,2608.0,672.0
BombsiteB,-2095.999695,2719.999969,236.0,-1303.9998170000001,3136.000031,652.0
BombsiteB,-2131.999969,2600.000004,236.0,-1404.000031,2719.999996,652.0
UpperTunnel,-2048.0,1408.0,32.0,-1920.0,1800.0,288.0
Pit,1348.0,128.0,-188.0,1676.0,784.0,308.0
Side,1632.0,100.00024400000007,124.0,1832.0,828.0002440000001,396.0
